Batch size: 512
Timestamp: 2025-09-01T20:00:25.611Z
Account: 0x063db350e4a19fb0cbb4edb7a6f546e28399b19c13eaa4fac304d0a6dbaeda62
Concurrency: 16
FeeToken: ETH  (maxFee buffer 30%)
tx_hash, status, block_number
0x2ef6b03cee5f40037c99eff90470817662f75df5d448da9d922791bc5df3323, ACCEPTED_ON_L2, 1830444
0x5978bf23d39cf8c09ae3f74282b545ce1dc7fccf0638e0daf8180b78b2cc029, ACCEPTED_ON_L2, 1830444
0x5d52e2e7c25c29a70dda1b440a06ff72f3026073ece0377a48e495dbbf954ee, ACCEPTED_ON_L2, 1830444
0x3a91b60493db4761803a1f5883a14d861b838b2f8ff8867028d9a9ccd09f435, ACCEPTED_ON_L2, 1830445
0x6174e57ec3470d2226ea0e612c1634f646e70e1c1a0cd079952bcb05dd0752d, ACCEPTED_ON_L2, 1830445
0x68bcf4d6441de5acb8d9c4e9a3dc9f109f63707dc0f2fd7fd2f183009c3f506, ACCEPTED_ON_L2, 1830445
0x2edbdb320032fd26b99f739084ea48f6223af4205d45e6b45da0486c78ce6be, ACCEPTED_ON_L2, 1830445
0x37ac6ac75262ba2b9e47dc44c251230b933c843b5779e9b5d4f793f9ac84519, ACCEPTED_ON_L2, 1830445
0x31cec1f9b361f48c172898c6929fa5310e25809ddcefe33fc6f872fc74e36ec, ACCEPTED_ON_L2, 1830446
0x1a0a9f4ffb105862d3482aa195879e6a8c38d87319ffe16d052fe155b78176, ACCEPTED_ON_L2, 1830446
0x1efb23cac8e6644593b4154d8a55a1a4cb3b0da6adfb381a28aff96a0af101b, ACCEPTED_ON_L2, 1830446
0x5358157c4f75bebad4ac3a78723ae4e3c52d2021a79eb292b3401107b64dfbe, ACCEPTED_ON_L2, 1830446
0x521fd560fcb70bab2593e8346934aac7b4bdadcc80e6cd402d2d063c845a517, ACCEPTED_ON_L2, 1830446
0x6d67c057c17ad865577027606425f69535f0d4a1306d26039c56418e0a24571, ACCEPTED_ON_L2, 1830447
0x52110b945fd7858de1ea742d513cbcacc6eaeb304e92921bc97eef6abd24ef2, ACCEPTED_ON_L2, 1830447
0x4fc0edb34742236a935c99e83258de8f3c4292159fc65119b6fba3ab9786ac7, ACCEPTED_ON_L2, 1830447
0x4e15c9576e822024d79788633b843f7bbf531391b55066495b1602d9fce579d, ACCEPTED_ON_L2, 1830447
0x5ebaa55370951b9da5d98dbdbca2c6a34195a2a1717b77a520ee35ae85b5cc7, ACCEPTED_ON_L2, 1830447
