Batch size: 128
Timestamp: 2025-08-31T23:05:02.358Z
Account: 0x063db350e4a19fb0cbb4edb7a6f546e28399b19c13eaa4fac304d0a6dbaeda62
Concurrency: 16
FeeToken: ETH  (maxFee buffer 30%)
tx_hash, status, block_number
0x762dfe834a31ec42746d6a22352677efb0d1348da8e78c9d33b26790b8d8ed0, ACCEPTED_ON_L2, 1815777
0x6448a06a51bc2d3593226937bc301b8228e9590039079c7531ebdb4dce1cb06, ACCEPTED_ON_L2, 1815777
0x17964ec50e40346b4669c72d3a579c3a6808c8bbebcdcf98f975a4d491e6e1d, ACCEPTED_ON_L2, 1815777
0x637951802e8975f8c798dbc3fdc31e31963c23e5c21896e867d01db195e9312, ACCEPTED_ON_L2, 1815777
0x28c7186af589accec17d79a47b3681704b0a119423791a14f75f0cadf44d1d7, ACCEPTED_ON_L2, 1815777
0x67c2037f88ebed78c59ec252d9c7b61fa010cf5eabe9f706aff6258d01a1842, ACCEPTED_ON_L2, 1815778
0x2b383e37127c067c1c9ed8fb7bb234160f93b39347ca0073675c10ae141e5b4, ACCEPTED_ON_L2, 1815778
0x2c8a74b010591041fef456c8d9319acb5eb576d2cc07fd8c89156b5f9b922b8, ACCEPTED_ON_L2, 1815778
0x17b826a869277bc441565fa7f190197a0e00a5274f23da4622334c3ccd870e4, ACCEPTED_ON_L2, 1815778
0x5fa4640c5df097baa8cc7d81bedeaa441313c68ca0fdbebe36107c9db760c77, ACCEPTED_ON_L2, 1815778
0x7409dc9554361d53a128df9c01d7b67c609f6ecbbcc2bf7b45066131c8bb1a0, ACCEPTED_ON_L2, 1815778
0x5eb0641ddbb9b140ba6095246f8310742657268d32b07465cf0bf69c4e18848, ACCEPTED_ON_L2, 1815779
0x1fd850fa9373a5657794e8d14fa219879b9c49b844022a8a8220798b8c3b5fb, ACCEPTED_ON_L2, 1815779
0xb12f97c301f8f3a745d85caf4b2a1be41b57b9e88f541d501eac71f503f716, ACCEPTED_ON_L2, 1815779
0x6bc2dacfe59ad8b5e7a95fb31a280a60977fe472bf3f688ebc600e8aa23232, ACCEPTED_ON_L2, 1815779
0x28ad1b426294b3da4f494dea85b730c8debf8c97c3355934ff234c6b5c95242, ACCEPTED_ON_L2, 1815779
0x296b94fcc8b7fcbf2ac349720dcbaa997c65cafb9653363bdb5eeccd3c3b3b3, ACCEPTED_ON_L2, 1815780
0x7f7aafc775d3cdf5fbfe371291a28a55b08e138739b45e125cc848ac1cef8be, ACCEPTED_ON_L2, 1815780
0x1834c7c8dc01fc0aeb8120db67b385065483b0508e2d792022cfd7a120ec421, ACCEPTED_ON_L2, 1815780
0x257030de1ad007461e9515b3fd2a67ef2519043035b46a13efcd2b99acbf465, ACCEPTED_ON_L2, 1815780
