Batch size: 256
Timestamp: 2025-09-05T10:57:51.762Z
Account: 0x063db350e4a19fb0cbb4edb7a6f546e28399b19c13eaa4fac304d0a6dbaeda62
Concurrency: 16
FeeToken: ETH  (maxFee buffer 30%)
tx_hash, status, block_number
0xd339c4bd788aaf032544aa400aee840f289d56278748e304ac28e6940bfbd7, ACCEPTED_ON_L2, 1891472
0x216862f463b07a44cbb9c36fe8bd626ea0e882944f8b031b81db0f07cf00d7f, ACCEPTED_ON_L2, 1891472
0x58da388632e1ca21f17dc94ed5933dc6a89989c795742e696f8bb3541496ae9, ACCEPTED_ON_L2, 1891472
0x1151225dbb31a0565d71874bd23c5679afa0973e0d71dce8ff247db0b540b1a, ACCEPTED_ON_L2, 1891473
0x6acaedcbb9ce4ea996ce2fc48df336bc4630c4d175d2d7630c9e336bfce3941, ACCEPTED_ON_L2, 1891473
0x41d6cde13f37bb30e0bd3351199f10ea2325fa2a4338a27e017cd38b4fe4f9, ACCEPTED_ON_L2, 1891473
0x2776a70234993119ab496588fd3202347184c91ee87598ead26e88b9680de9f, ACCEPTED_ON_L2, 1891473
0x677691937d60ddceed993a652db9abd257dcfbf17e53e262182d87893148e12, ACCEPTED_ON_L2, 1891473
0x724379f6fb720f88730ae167241d433c3b0fd6a6c7a28fe04b884db832e070d, ACCEPTED_ON_L2, 1891474
0x6d739bfb0059b54718e10be3952ac88151497744a05efe86a73f10afd26c715, ACCEPTED_ON_L2, 1891474
0x7132d8be093018010d10b923a5d8b847a6b9825d5693c2a4c5be8eb79c61e71, ACCEPTED_ON_L2, 1891474
0x4e1194034c24a8fd426249a2cce4d6e77770463c94b7e0be324cd7cf69c39c9, ACCEPTED_ON_L2, 1891474
0x6e3bd74112fb9694bc57c789e02a0e79c6b284181556d3df7c0b3d085b7ce17, ACCEPTED_ON_L2, 1891474
0x163af83eaa031e643e1cf07a8b38ad1f6c46d7bd5c7cbff2911f33e5e7f99cc, ACCEPTED_ON_L2, 1891475
0x565f484b1aeac3ec71077fe5907bf63cc675aba4e44d5c30c63706acb010f0b, ACCEPTED_ON_L2, 1891475
0x3616fe9e885b4f4740bee2881cad8995feb7915701f56aa2473c8f62b856586, ACCEPTED_ON_L2, 1891475
0x6c19bc03e2f0eae562af50d5fa8c644fae71a3e03c2c0517bbee2482ef00900, ACCEPTED_ON_L2, 1891476
0x11d44528f7e3384125cad7fb8ec6837f33dbd89058ee000e51de5b1b0c1203d, ACCEPTED_ON_L2, 1891477
0x1e8da99aa39c40acdd4e5f1caa28db3de7d697be443f77a40636b9e05dfaedc, ACCEPTED_ON_L2, 1891477
